Gene	Length
Nppb	781
Nppa	865
Gm13054	820
Clcn6	5933
Gm13207	773
Mthfr	7315
Chchd2-ps	462
Gm13201	815
Agtrap	4236
Draxin	5200
Mad2l2	2622
Fbxo6	2207
Mir7022	61
Fbxo44	3024
Fbxo2	1288
Disp3	5450
Gm13206	1090
Gm13200	258
Ubiad1	2992
Gm23303	152
Mtor	10109
Angptl7	2157
Gm24002	104
Gm23318	108
Exosc10	3594
Gm13204	821
Gm13209	494
Srm	1599
Masp2	3307
Tardbp	7796
Gm572	1385
Gm13203	520
Casz1	12524
Gm15969	236
Gm13205	562
Gm17029	5876
Pex14	6272
Gm9506	320
Dffa	3540
Cort	677
Cenps	1909
Rpsa-ps12	892
Pgd	6447
Kif1b	17809
Ube4b	7618
Ube4bos3	756
Ube4bos2	317
Ube4bos1	2903
Rbp7	718
Trmt112-ps2	378
Nmnat1	3037
Tmem274	747
Lzic	1866
Gm13071	376
Gm24381	104
Ctnnbip1	2792
Mir5616	60
Gm13066	884
Clstn1	4662
Pik3cd	6259
Mir7023	64
Tmem201	8944
Slc25a33	1887
Gm13068	876
Gm16188	420
Gm13073	486
Gm13065	141
Gm13064	557
n-R5s193	109
Gm47301	60
Spsb1	4396
Gm13070	768
H6pd	5236
Gm13067	404
Mir34a	102
Gm37795	2459
Gpr157	4900
AL606971.1	76
Gm13093	2485
Slc2a5	3402
Slc2a7	1867
Car6	1816
Gm13094	409
Eno1	5379
Rere	8528
Gm13092	260
Gm23209	110
Gm13091	469
Slc45a1	4395
Gm16079	578
Gm13049	757
1700045H11Rik	593
Rps15a-ps3	395
Errfi1	3582
Park7	2479
Tnfrsf9	2722
Camta1	14570
Gm23405	160
Uts2	538
Per3	9608
Vamp3	2889
Gm13090	746
4930589P08Rik	1084
Gm37141	422
Dnajc11	10678
Thap3	1334
Phf13	3205
Gm9768	2861
Klhl21	3986
Zbtb48	3199
Tas1r1	2863
Nol9	4956
Plekhg5	5430
Tnfrsf25	2277
Espn	8272
Gm13077	484
Hes2	2638
Acot7	2124
Gm27500	336
Gm13096	251
Gpr153	3909
Hes3	1960
Icmt	5287
Rnf207	6331
Rpl22	2911
Chd5	9583
Gm13645	699
Kcnab2	6977
Gm16333	318
Nphp4	6044
Gm13172	256
Gm833	884
Gm25779	95
Gm13173	441
Gm13174	220
Ajap1	3048
Gm25880	132
Gm13115	620
BC039966	1371
A430005L14Rik	1552
Dffb	2875
Cep104	5279
Lrrc47	3510
Smim1	5761
Ccdc27	2089
Gm13117	691
Gm13114	106
Trp73	5534
Trp73os	2192
Gm26036	144
Wrap73	4335
Tprgl	2242
Megf6	7877
Gm13132	472
Arhgef16	5481
Prdm16	9321
B230104I21Rik	876
Gm13133	736
Gm13134	1032
Prdm16os	3542
Gm27202	512
Gm13110	3414
Actrt2	1435
Ttc34	4949
Gm13112	1297
Mmel1	3475
Prxl2b	1027
Tnfrsf14	1438
Gm20421	672
Hes5	1363
Pank4	3487
Plch2	8112
Gm10564	3113
Pex10	3298
Rer1	1814
Morn1	4320
Ski	5562
Faap20	1743
Prkcz	6318
Gm27200	657
Gabrd	2875
5830444B04Rik	5410
Cfap74	9951
Tmem52	1157
Gnb1	4268
Gm13171	391
Nadk	3747
Slc35e2	6574
Gm16023	2770
Gm10563	237
Gm16024	171
Cdk11b	3752
Mmp23	2340
Mib2	4724
Fndc10	2140
Ssu72	2689
Gm22573	102
1500002C15Rik	2183
Tmem240	5514
Atad3a	3765
Atad3aos	1549
Vwa1	3623
Tmem88b	3471
Gm27743	126
Ankrd65	1322
Mrpl20	1664
Ccnl2	5278
Aurkaip1	1766
Mxra8os	687
Mxra8	2918
Dvl1	4996
Tas1r3	3523
Cptp	2709
Ints11	3067
Pusl1	2329
Acap3	5367
Gm22991	121
Ube2j2	4409
C1qtnf12	1366
B3galt6	3184
Sdf4	6115
Tnfrsf4	1365
Gm37090	4105
Gm16008	1324
Gm25982	101
Tnfrsf18	1524
Ttll10	3985
Gm13648	1536
Mir429	83
Mir200a	90
Mir200b	70
9430015G10Rik	3695
Rnf223	2908
Agrn	9285
Isg15	703
AW011738	5095
Perm1	3901
Plekhn1	8328
Mir7658	57
Noc2l	4160
Samd11	3588
Gm47252	611
Vmn2r-ps159	3071
Vmn2r125	2717
V1rg10	937
Gm3027	451
Gm18187	984
Gm8706	1491
Gm43529	412
Gm6486	434
Gm3053	616
Gm43530	274
Gm8715	531
Gm18985	1079
Gm15772	438
Gm36548	1044
Cdk6	13989
Gm17590	1232
Gm42435	1448
Fam133b	7398
Gm43017	752
n-R5s169	120
1700109H08Rik	3062
Rbm48	3071
2510017J16Rik	1263
Pex1	10356
Gm43825	734
4833413G10Rik	1946
Gatad1	4168
Tmbim7	2345
Gm26238	117
Ankib1	8541
Gm22926	68
Gm43679	3677
Krit1	21853
Lrrd1	2951
Rps4x-ps	793
Mterf1a	3144
Akap9	22102
Wdr46-ps	1712
Gm43031	1887
Cyp51	4415
Mterf1b	1368
Fzd1	4197
Gm15750	616
Gm42744	2147
Gm44483	97
Cdk14	18877
Gm43112	3122
Gm43113	1754
Gm25037	110
Gm43111	1919
Gm22897	128
Gm43623	2663
Gm43577	3344
Gm10484	4759
Gm43727	2647
Gm43728	2622
1700015F17Rik	1118
Cldn12	4228
Gtpbp10	6830
Gm30652	430
Gm8773	1268
Cfap69	7905
Steap2	12144
Gm43219	1937
Steap1	1377
Gm15459	1941
Gm38697	1746
Gm23838	162
Gm42718	2681
Gm42719	355
Gm24686	93
Gm40263	580
Gm3203	2389
Gm43324	289
Gm5714	566
Zfp804b	4430
Gm24525	151
Tubb4b-ps1	1336
Gm42598	2437
Gm42597	1544
Gm43841	586
Tex47	3623
Gm4960	1001
Gm30835	689
Gm8802	740
Gm22196	109
Gm43478	292
Steap4	3155
Gm15731	2195
Sri	4852
Gm15730	415
Adam22	14348
Gm21759	1828
Gm24196	110
Gm23993	144
Gm42490	2064
Dbf4	8728
Slc25a40	8386
Rundc3b	3824
Gm42685	2390
Abcb1a	5480
Gm42684	3615
Gm42686	4108
Gm5106	1334
Abcb1b	7990
7330423F06Rik	301
Abcb4	9383
Gm17936	988
Crot	5456
Gm15610	195
Gm37153	231
Gm27941	142
Gm15611	406
Gm40264	3867
Tmem243	6841
Dmtf1	11041
Gm24666	167
Gm7332	454
Gm15734	1040
9330182L06Rik	7918
Gm15733	242
Mir879	76
Grm3	3049
Gm42455	2736
Gm23312	102
Gm35212	606
Gm42832	745
Gm6586	643
Gm5715	1465
Gm10482	2428
Gm28685	1101
Gm5152	858
Gm31831	903
Gm17091	357
Gm4959	1044
Gm42828	469
Gm42834	256
Gm42833	2124
Gm6455	1244
Gm3321	1129
Gm43358	970
Gm8871	1207
Gm8857	1102
Gm8861	832
Gm43492	786
Gm8874	286
4930558F17Rik	786
Gm8879	1125
AC174780.1	1107
Gm32554	970
Gm5861	1096
Gm33093	790
Gm8890	730
Gm8891	832
Gm32877	709
Speer1	1123
Gm8896	1106
1700108N06Rik	681
Gm8897	1099
Gm29745	687
Gm43540	3848
4930437M23Rik	968
Gm8906	1099
Gm21040	1132
Gm43640	786
Gm6460	1168
Gm8920	924
Gm33847	786
Gm8922	1167
1700003C15Rik	1871
Gm8924	1132
Gm8926	1098
Gm8929	1132
Gm43132	792
Gm6465	1098
Gm29755	948
Gm43131	969
4933402N22Rik	1125
Gm5288	1119
Gm29066	452
Gm38242	430
Gm42910	2921
Gm8953	904
Sema3d	8595
Gm8925	763
Gm42909	3619
Gm42580	753
Gm23243	110
Gm10481	1002
Gm6641	1315
Gm10108	319
Sema3a	13868
Gm42680	2500
Gm43130	3907
Gm42676	2686
Gm42675	4035
Gm43719	2199
Gm43718	1857
4930568A13Rik	1061
Gm4751	1105
Gm6647	641
Speer3	1192
Gm6650	614
Gm8968	1303
Gm35702	511
Dnd1-ps	964
Gm24054	105
Sema3e	9285
Gm43519	1872
Gm4128	461
Gm43523	2878
Pclo	22457
Gm26918	728
Gm42446	3284
Gm42447	2903
Gm42448	2644
Gm42444	4558
Gm42445	2893
Gm43663	1505
Gm26954	1258
Gm43662	2271
Gm43665	1659
Gm9758	1284
Speer4e	1603
Gm10354	1215
Gm17019	1162
Gm43391	1887
Gm21149	1212
Gm21847	1804
Gm21190	1167
Gm30613	512
Gm21083	1141
Speer4d	1318
4930572O03Rik	1169
Speer4cos	1083
Speer4c	1194
Gm42452	617
Gm42454	1181
4930519H02Rik	1098
Gm42453	409
Gm42451	244
Gm3510	1455
Cacna2d1	12416
Gm43000	3343
Gm43490	2652
Gm43491	784
Gm8984	1019
Hgf	7186
Gm43489	993
Gm42975	1491
Gm8991	1075
Gm28710	3002
Gm42855	253
Gm6673	700
Speer4f2	1278
Gm21999	387
Speer4f1	1256
Gm7047	1063
Sema3c	7140
Cd36	3590
Gnat3	1361
Gnai1	3135
Gm3527	460
Gm31752	856
Gm17889	598
Gm23822	128
Gm43032	3123
4921504A21Rik	2156
Gm32102	241
Magi2	11348
Gm21009	1669
Gm25335	103
Gm23570	104
Gm25761	128
Gm43680	340
Gm22755	100
Gm3544	305
Gm29254	883
1110060G06Rik	499
Phtf2	6929
Rpl31-ps5	375
Tmem60	3176
Rsbn1l	12676
A630072M18Rik	5410
Ptpn12	3509
Gm43216	1333
Gm22490	119
Rpl31-ps21	374
Gm18830	1396
Gm42660	947
Gsap	10425
Gm43215	252
Gm43214	352
Ccdc146	4371
Fgl2	3788
Fam185a	3894
Fbxl13	5439
Lrrc17	3608
Gm6543	808
Gm8539	501
Armc10	3407
Napepld	3956
Gm15719	635
Pmpcb	5141
Gm15715	283
Dnajc2	5029
Psmc2	5031
Slc26a5	3072
Reln	23738
Gm16111	285
Gm10475	1796
Dnaja1-ps	642
Gm19666	1893
Gm16113	372
Gm16112	382
Gm16110	892
Gm25459	114
Gm43657	3833
n-R5s170	113
Gm43110	226
Orc5	6166
Gm15421	489
Gm22887	107
6030443J06Rik	7595
Gm9057	296
Rpl17-ps5	555
Gm24512	65
Gm9523	1159
Gm6560	1591
A930003O13Rik	6639
Gm44363	93
Lhfpl3	3213
Gm21846	3073
Gm43169	4734
Gm6564	619
Gm42948	578
Gm28022	46
Gm42951	684
Gm43722	124
5031425E22Rik	5142
4930580E04Rik	690
Gm43058	625
Gm42509	781
Kmt2e	10444
Gm25219	330
Srpk2	13901
Gm24009	93
Gm43566	808
AI506816	4479
Gm50451	71
Pus7	8289
Rint1	7404
Gm43054	884
4933427G23Rik	2515
AC117663.3	239
AC117663.2	544
Gm22054	155
Tomm7	1125
2700038G22Rik	1594
Snord93	71
AC117663.1	749
Fam126a	10117
Gm6745	526
Gm18038	485
Klhl7	3959
Gm3724	349
Gm43389	2595
Nupl2	3768
Gm5575	398
Gm43828	639
Gm43827	1390
Gm9836	216
Kcnh2	4845
Gm15589	271
Nos3	4132
Gm15587	3759
Atg9b	3946
Abcb8	4739
Asic3	2423
Cdk5	2168
Slc4a2	8322
Fastk	4372
Gm22333	101
Tmub1	1895
2310074N15Rik	582
Gm10472	2102
Agap3	5321
Gbx1	3475
Asb10	2806
Iqca1l	3374
Abcf2	2569
Gm10221	309
Chpf2	5588
Smarcd3	5120
Mir671	98
1700022A21Rik	1448
Nub1	4319
Gm26648	5831
Wdr86	5034
Crygn	802
Rheb	7721
Gm25363	245
Prkag2	6480
Prkag2os2	1432
Prkag2os1	991
1500035N22Rik	865
2900005J15Rik	2928
Gm19088	566
Gm26051	93
Galntl5	1627
Gm26356	283
Galnt11	6853
E130116L18Rik	306
Kmt2c	20291
Gm42585	4020
Hspe1-ps3	277
Gm20432	250
Gm18343	604
Gm22656	171
Cct8l1	1961
1700096K18Rik	1454
Gm43141	274
Gm10062	1477
Gm43972	1467
Gm43143	2023
Xrcc2	5216
Gm43142	361
Actr3b	2425
Gm21655	2975
Gm21663	2864
Gm21671	2421
Gm21168	1096
Gm21680	2975
Gm21698	2996
Gm1979	2026
Gm5067	1009
Gm5862	1972
Speer4a	2980
Gm7347	2995
Gm6089	938
Gm10471	2967
5031410I06Rik	2995
Gm10220	2980
Gm7361	2995
Gm18957	1813
4930584F24Rik	1725
Gm42844	112
Dpp6	12347
Gm29784	406
Gm16056	135
Gm16057	759
Gm43776	2914
Gm43502	2596
Speer4b	2651
Gm16058	427
Paxip1	10271
Gm43433	481
Gm20239	982
Htr5a	5376
Gm43096	421
Gm5551	690
AC156021.1	5734
Gm4865	1309
Gm26608	2886
Gm43611	4352
Insig1	3093
En2	3539
Gm43610	365
Cnpy1	5864
Rbm33	12502
Shh	2847
9530036O11Rik	3665
Gm10290	999
Gm43161	1688
Rnf32	6761
Gm7420	842
Lmbr1	5850
C79130	4296
Gm23801	67
4632411P08Rik	3237
Nom1	9232
Mnx1	2250
Gm24538	107
Gm6083	357
Ube3c	9544
Gm42570	292
Gm26346	329
Gm43117	379
Gm5129	603
Dnajb6	6062
Gm5552	515
Gm2213	688
Gm1969	1220
Gm42450	2644
Gm43386	4001
A230098N10Rik	466
Il6	2428
Tyms	6089
Gm4961	2249
3110082J24Rik	767
Garem2	3865
Hadha	8730
Hadhb	6595
Mir1960	78
Adgrf3	3285
Selenoi	13135
Gm16288	367
Drc1	2683
Gm43755	408
Otof	7904
1700001C02Rik	1038
Cib4	769
Gm25666	107
Gm42765	3211
Gm9899	6195
Kcnk3	3976
Slc35f6	8495
Mir5625	80
Cenpa	5860
Dpysl5	7376
Gm42764	741
Mapre3	3459
Gm19409	2858
Gm15461	235
Tmem214	7580
Gm43808	2065
Agbl5	7053
5930420M18Rik	2281
Ost4	1272
Emilin1	4937
Khk	1797
Cgref1	2082
Abhd1	1352
Preb	7209
Tcf23	4116
Slc5a6	3991
Atraid	2082
Cad	8183
Slc30a3	2834
Gm9924	2311
Dnajc5g	1635
Trim54	1436
Gm15469	961
Ucn	504
Mpv17	3214
Gm29609	3550
Gtf3c2	6564
Eif2b4	2599
Snx17	3091
Zfp513	2476
Ppm1g	4861
Gm42798	3972
Gm9970	767
Nrbp1	3559
Krtcap3	1338
Ift172	6617
Fndc4	3039
Gckr	4335
Gm19457	448
Gm43659	628
4930478M09Rik	1113
Zfp512	6886
Gm43059	1388
4930548H24Rik	2737
4930566F21Rik	1626
Gpn1	7846
Supt7l	6994
Slc4a1ap	5380
Gm43660	6548
AI839979	1539
2900076G11Rik	631
Mrpl33	7326
Gm43809	408
Rbks	1489
Mir3473e	110
Babam2	4781
Gm43810	232
Gm24436	302
Gm43811	695
Gm17130	2683
Gm10463	2889
Fosl2	9680
Gm26335	107
Gm9555	583
Plb1	11660
Gm15615	198
Gm36840	250
Gm7596	909
Gm5864	970
Ppp1cb	10913
Gm43312	2466
Gm43313	2235
Gm15613	326
Gm15614	1537
Gm42964	382
Gm43812	637
Gm10461	4786
Yes1	7508
Gm43694	1119
Gm50482	515
Gm43852	917
Gm2420	2310
Pisd	5750
Gm20671	1731
Gm43695	196
Prr14l	10402
Gm43692	1062
Gm2623	286
Depdc5	11774
Gm24003	100
Gm43693	1249
Ywhah	3709
Gm43849	215
Rpl35a-ps5	333
Slc5a1	4104
Gm15936	460
5033423K11Rik	1474
Spon2	2947
Ctbp1	4476
Gm43850	578
Gm20465	1932
Maea	2629
Uvssa	8666
Nkx1-1	1209
Gm43851	327
Fam53a	9114
Gm9903	1747
Slbp	6076
Gm10459	1155
Tmem129	3179
Tacc3	3552
Gm42965	250
G630022F23Rik	3627
Fgfr3	7158
Letm1	9650
Gm10059	171
Gm30708	312
Nsd2	16803
Nelfa	3947
Mir7024	62
Gm42849	1584
Gm42851	1411
Gm1673	669
Gm42847	2553
Nat8l	6670
Poln	5423
Gm19798	457
Gm43459	331
4930557J02Rik	1075
Haus3	3871
Gm25918	103
Mxd4	8483
Gm42846	514
Zfyve28	5756
Gm15513	1569
Gm42848	2022
Cfap99	2123
Gm43105	459
Gm43458	462
Rnf4	7287
Fam193a	7418
Gm42559	3532
Gm26931	609
Gm43457	2409
Tnip2	2685
Sh3bp2	4296
Gm22847	105
Add1	8561
Mir7036b	63
Gm42867	469
Mfsd10	2894
Nop14	2730
Gm15522	785
Grk4	4829
Gm42560	1023
Mir467g	120
Htt	24438
Msantd1	2905
Rgs12	8487
Mir3097	67
Gm43791	468
Hgfac	3410
Dok7	4275
Lrpap1	4116
Adra2c	3445
4930478P22Rik	2533
E130018O15Rik	3776
Hmx1	1588
4930442P19Rik	1240
Gm43377	455
Cpz	2245
Gm43860	2705
Plk-ps1	1787
Trmt44	5154
4931431C16Rik	2735
Acox3	11521
Htra3	4439
Sh3tc1	5735
Gm15650	770
Ablim2	7047
Afap1	12651
H2af-ps	295
Sorcs2	8802
Psapl1	2548
Mir7689	59
2210406O10Rik	2472
Grpel1	3528
Tada2b	3791
Ccdc96	3585
Tbc1d14	9802
Gm42936	652
D5Ertd579e	18420
Gm42507	2555
Gm24878	104
Gm25767	124
Bloc1s4	1273
Gm43701	391
Gm40318	296
Mrfap1	1648
Man2b2	3528
Ppp2r2c	4450
Ppp2r2cos	1491
Gm42506	150
Wfs1	3787
Jakmip1	8586
Gm26647	1255
Gm1043	13507
Gm25551	103
Crmp1	7046
Evc	7701
Gm42935	151
Evc2	5837
Gm15732	480
Stk32b	3458
Cytl1	1056
Gm43763	683
Msx1	3097
Gm20052	1850
Gm40289	2268
Gm43762	295
Stx18	4593
Gm42858	1704
Nsg1	3215
Zbtb49	8305
Lyar	2401
Tmem128	3629
Otop1	3442
Gm26560	2619
Drd5	3152
4930487D11Rik	295
Slc2a9	5083
Gm15796	204
Wdr1	8899
Gm22249	136
4930421P07Rik	399
Zfp518b	6882
Gm22779	107
Clnk	1719
Clnkos	439
Gm42857	339
Gm40293	485
Gm40292	553
Gm43456	457
Gm25505	246
Gm5291	899
4930421C12Rik	1574
Gm42524	2214
4930513D17Rik	1456
Gm25377	129
Gm42528	3418
Hs3st1	2230
Gm7816	1194
Gm35191	2475
Gm2810	990
Gm23022	180
4930519E07Rik	1665
Gm4754	809
Gm43806	469
Rab28	4529
Nkx3-2	1718
Bod1l	11995
Gm5298	892
Mir6414	82
Gm20156	1276
Gm16223	2530
Gm7181	434
Gm5554	1206
Gm43700	316
Gm42711	2302
Gm42553	1629
Gm42552	4497
Gm7854	1433
Cpeb2	7816
Gm42551	1573
6030400A10Rik	1212
Gm43020	372
Gm43699	818
Gm43021	337
C1qtnf7	4162
Gm43022	4268
Gm15866	1373
Gm43023	2106
Cc2d2a	6809
Fbxl5	9740
Gm42462	1363
Gm43182	2528
Gm43181	2072
Gm42555	1039
Bst1	3317
Cd38	3890
Gm16014	544
Gm16015	390
Gm7879	774
Gm7882	1762
Gm5292	580
Gm43183	547
Gm43184	542
Fgfbp1	2263
Prom1	7175
Gm42716	2313
Gm16401	2074
Gm42966	1691
Gm42429	558
Gm42428	302
Gm42427	5292
Tapt1	4443
E430021H15Rik	3459
Gm42982	687
Gm42983	815
Gm42984	987
Gm42698	762
Gm43114	343
Gm5865	637
Gm36017	923
Ldb2	3336
Gm42981	3252
8030487O14Rik	903
Gm43506	753
Gm43505	139
Gm43508	3783
Gm43507	2086
Gm43504	2038
Gm43503	3408
Gm3364	1217
E030026E10Rik	2217
Gm43509	2594
Gm42750	353
4930431F12Rik	2263
Gm10205	234
D5Ertd615e	4775
Gm43303	669
Gm42519	3656
Qdpr	1788
Gm42413	338
Clrn2	944
Lap3	3098
Med28	5011
Fam184b	8598
Gm42521	2040
Gm42520	1502
9630001P10Rik	4765
Gm43367	625
Gm43366	2655
1600023N17Rik	1007
Ncapg	7066
Lcorl	19019
Gm36401	2028
Gm43201	3416
Gm29036	877
Gm43200	2161
4930449I04Rik	1123
4930405L22Rik	585
Gm7931	271
Gm43093	1213
Gm43092	1854
Gm43601	945
Gm17824	805
Gm3010	448
Gm43427	331
Slit2	25433
4930518C09Rik	478
Gm20475	263
Gm43426	2597
Gm42536	1613
Gm42537	2574
Mir218-1	110
Gm42534	1754
Gm42535	1399
5730480H06Rik	9317
Kcnip4	3627
Gm43831	2598
Gm20700	2206
Gm43648	2485
Gm19031	1365
Gm43829	3802
Gm43830	1067
Gm43319	2270
Gm42919	1284
Gm43321	2409
Gm43320	2916
Gm10025	372
Gm10048	3787
Gm43318	1949
Gm43341	1308
C030015E24Rik	828
Gm43317	2544
Gm43316	1295
Gm42766	1332
Gm43046	2451
Gm43047	3460
Gm42767	632
Gm42768	2897
Gm42769	1659
Gm42770	4155
Gm43048	388
Gm42771	2486
Gm42772	3041
Gm19932	313
Gm43670	1767
2900064K03Rik	3113
Gm5555	1111
Gm7988	2297
Gm42461	1150
Adgra3	8113
Gm42460	2567
4930448I18Rik	736
Gm7205	1323
Mir8117	107
Gm22618	107
Gm36814	2092
Gm42459	742
Gm43016	3150
Gm4962	2977
Gm43014	2443
Gm43015	565
Gm40319	481
Gm44377	87
Ppargc1a	6592
Gm42614	1554
Gm42615	1820
Gm42613	1931
Gm43605	3426
Gm43606	3556
Gm42616	4184
Gm42617	1229
Gm43175	3810
Gm43174	2445
Gm43177	1107
Mir6417	116
Gm43176	2989
Dhx15	8496
Gm43178	1386
9230114K14Rik	2762
C130083M11Rik	2072
Gm43180	2886
Gm43179	275
Gm25601	105
Sod3	3738
Ccdc149	3328
Gm3519	1676
Lgi2	6528
Gm43685	706
Gm43686	2439
Gm5866	973
8030423F21Rik	2851
Sepsecs	6982
Pi4k2b	3760
Zcchc4	10897
Anapc4	6081
Gm43664	734
Gm23532	112
5033403H07Rik	1048
Gm30301	652
Slc34a2	5013
Gm17182	860
Sel1l3	9850
n-R5s171	79
Smim20	2909
Gm45495	1700
n-R5s172	114
Gm42745	193
Gm26486	110
Rbpj	12750
Gm10441	1546
Gm40304	268
Cckar	3682
Tbc1d19	3117
Gm43268	4055
Gm43266	1771
Stim2	5133
Gm15820	728
Gm10440	2753
Gm18451	1719
Gm8069	154
Gm43781	2681
Gm24235	129
Gm43779	829
Gm25513	162
Gm43780	3600
Gm43396	706
Gm43199	307
Gm15975	1402
Gm43778	199
Gm20223	805
Gm43705	3717
Gm43315	313
Gm42977	144
Gm23896	130
Gm24902	123
Gm23015	128
Gm3283	1350
Gm8115	736
Gm18901	1444
Gm43706	2652
Gm6615	631
4932441J04Rik	4716
Gm8121	499
Gm43002	155
Gm42634	381
Pcdh7	10604
Gm42635	2571
Gm42481	2178
Gm42480	2595
Gm42482	1947
Gm17977	574
Gm43715	2715
Gm42479	1356
Gm42478	1467
Gm42639	1871
Gm42640	1195
Gm42484	2104
Gm37720	1241
Gm42483	1742
Gm42486	3486
Gm42976	222
Gm43045	2095
Gm42999	786
Gm22536	134
4930459L07Rik	420
1700029E06Rik	757
Gm43394	694
Gm6632	954
Gm43395	2240
Gm22308	107
Gm43044	379
Gm43042	1820
Gm43043	412
Gm43041	2630
4933402J10Rik	1178
Gm42862	2621
Gm43392	434
Gm43393	194
Gm42861	634
Cbfa2t2-ps1	730
Gm23331	108
Gm43390	421
Gm3372	1792
Gm23708	123
Gm42860	3991
Gm8182	769
1700014F14Rik	197
Gm43382	838
Gm43383	469
Gm43384	637
G6pd2	2348
Gm42430	616
Gm22273	132
Gm43238	359
Gm24079	132
Arap2	12451
Gm43237	1044
Gm43753	3309
Dthd1	2877
Gm9954	4725
Nwd2	10428
Gm3687	460
0610040J01Rik	2403
Rell1	3856
Gm15819	481
Gm43840	484
Gm25608	132
5830416I19Rik	2627
Pgm2	2590
Gm23967	78
Gm22395	96
Gm22559	134
Tbc1d1	7405
Gm15824	955
Gm43721	2313
Gm15823	670
Gm6044	499
Gm43838	348
Gm43837	668
Gm31363	541
1700027F09Rik	767
4930526M16Rik	954
C030018K13Rik	1522
Gm43836	381
Gm43835	149
Gm42566	643
Gm3716	3136
Gm42564	582
Gm42565	572
Gm25306	117
Gm26761	2192
Gm20033	3124
Klf3	11243
C230096K16Rik	1722
AC161757.1	2047
Tlr1	3346
Tlr6	3727
Fam114a1	2976
Mir574	78
Gm43627	2299
Tmem156	3309
Klhl5	7057
Gm25154	119
Wdr19	11278
Rfc1	6021
Gm43628	1187
Klb	4549
Rpl9	3081
Lias	4570
1110003F10Rik	767
Gm43311	2377
Ugdh	6752
Gm43552	365
Gm43289	1475
Smim14	15976
Gm43290	1557
4930589O11Rik	920
Gm42725	4193
Ube2k	7892
Gm40309	1752
Gm42726	1286
Pds5a	19335
Gm42727	2823
Gm42729	2930
Gm24399	74
Gm42728	1552
C030017G13Rik	2331
N4bp2os	2611
N4bp2	14946
Gm24346	194
Gm42648	2505
Gm42645	1627
Gm42646	914
Gm43004	703
Rhoh	10341
Gm43769	4323
Chrna9	3026
4930480C01Rik	901
Gm43771	1578
9130230L23Rik	7830
Gm25952	74
Rbm47	7163
Gm43775	3395
Gm43323	4258
Gm26725	1113
Gm22929	107
1700126H18Rik	405
Gm43772	379
Gm15794	631
Gm3822	2935
Nsun7	5388
Apbb2	10966
Gm43790	2013
Gm23183	323
Gm43793	1333
Gm16273	268
Gm43792	2210
Gm43794	692
Gm43343	1926
Gm43795	2366
C530043K16Rik	3109
Uchl1os	2190
Uchl1	1632
Gm43279	2512
Gm43280	1550
Limch1	11703
Gm6517	511
Gm43281	2704
Gm43282	2157
Gm15949	126
Gm15948	403
Gm42713	945
Gm23841	114
Phox2b	3645
Gm33167	2643
Gm42670	1292
Tmem33	8961
Slc30a9	12374
Gm43698	703
Bend4	9886
Gm26756	1294
Gm42632	2411
Gm20072	292
C330024D21Rik	4070
1700025A08Rik	609
Shisa3	4754
Atp8a1	14278
Gm23617	95
Gm42735	1646
Gm15478	2172
Gm42737	1755
D630030B08Rik	3479
Gm42466	1301
Gm15477	4302
Gm42736	1353
Gm21905	87
4930425K10Rik	745
Gm5108	543
Gm43027	3691
Gm43028	481
Grxcr1	1071
Gm43025	1886
Gm43026	325
Gm23605	127
Gm42850	201
Gm43842	2982
Kctd8	3373
D130004A15Rik	1577
Gm43371	1031
Gm43373	2870
Gm43374	2391
Gm43230	2129
Gm43229	1850
Gm42888	4361
Gm24368	106
Gm23932	107
Gm5867	592
Gm42887	1119
Yipf7	1219
3110031N09Rik	326
Guf1	10372
Gnpda2	6862
Gm26044	126
Gm23661	87
Gm43139	284
Gm23067	62
Gm26072	107
Gm42652	614
Gm42653	2839
Gabrg1	7869
Gabra2	7640
Cox7b2	542
Gabra4	6083
Gabrb1	13838
Gm38562	1126
Gm15617	771
Gm15616	375
Commd8	4107
Gm42569	472
Atp10d	7848
Corin	5400
Gm25768	98
Gm20647	857
Gm19560	514
Gm23712	107
AU023070	387
Nfxl1	8307
Gm43815	990
Gm34144	259
Zar1	3465
Slc10a4l	1953
Cnga1	6327
Gm5297	1171
4933408A14Rik	729
Nipal1	4393
Txk	10955
Gm43717	310
Tec	3744
Gm43499	2107
Gm9870	2356
Slain2	8446
Gm10135	252
Gm24776	86
Slc10a4	2106
Gm15847	1065
Gm42668	2487
Fryl	15192
Gm42572	3378
1700071G01Rik	367
Gm42571	2464
Gm17207	645
Gm34411	280
1700025M24Rik	772
Gm42734	878
Ociad1	5515
Gm42733	519
Gm42732	1197
Ociad2	2722
Gm34583	939
Gm35960	767
Cwh43	2915
Gm43798	394
Gm15653	907
Dcun1d4	5807
Lrrc66	3238
Sgcb	4052
Gm43799	579
Spata18	2107
1700019F05Rik	533
C78283	848
Usp46	7841
Usp46os1	508
Usp46os2	967
Gm43417	5207
Gm43415	750
Gm43416	1015
Dancr	2347
Snora26	121
A330058E17Rik	3890
Rasl11b	2161
Scfd2	8196
Gm42599	469
Gm15981	457
Gm15982	554
6720475M21Rik	2753
Gm43167	1606
Fip1l1	13122
Gm43747	1330
Lnx1	3829
Gm15984	1559
Gm15985	343
Gm42575	1674
Gm17906	901
Gm6116	1437
Gm42577	3211
Chic2	9750
Gm42576	2846
Gm18593	1139
Gsx2	1665
