"ID" "length" "ENSEMBL"
"3202" "Chga" 1384 "ENSMUSG00000021194"
"3203" "Chgb" 2029 "ENSMUSG00000027350"
"3204" "Chia1" 1411 "ENSMUSG00000062778"
"3205" "Chic1" 678 "ENSMUSG00000031327"
"3206" "Chic2" 492 "ENSMUSG00000029229"
"3207" "Chid1" 1170 "ENSMUSG00000025512"
"3208" "Chil1" 1160 "ENSMUSG00000064246"
"3209" "Chil3" 1186 "ENSMUSG00000040809"
"3210" "Chil4" 1198 "ENSMUSG00000063779"
"3211" "Chil5" 1285 "ENSMUSG00000043873"
"3212" "Chil6" 1312 "ENSMUSG00000027902"
"3213" "Chit1" 1384 "ENSMUSG00000026450"
"3214" "Chka" 1350 "ENSMUSG00000024843"
"3215" "Chkb" 1174 "ENSMUSG00000022617"
"3216" "Chl1" 3605 "ENSMUSG00000030077"
"3217" "Chm" 1974 "ENSMUSG00000025531"
"3218" "Chml" 1865 "ENSMUSG00000078185"
"3219" "Chmp1a" 584 "ENSMUSG00000000743"
"3220" "Chmp1b" 599 "ENSMUSG00000109901"
"3221" "Chmp2a" 664 "ENSMUSG00000033916"
"3222" "Chmp2b" 636 "ENSMUSG00000004843"
"3223" "Chmp3" 669 "ENSMUSG00000053119"
"3224" "Chmp4b" 670 "ENSMUSG00000038467"
"3225" "Chmp4c" 694 "ENSMUSG00000027536"
"3226" "Chmp5" 652 "ENSMUSG00000028419"
"3227" "Chmp6" 595 "ENSMUSG00000025371"
"3228" "Chmp7" 1346 "ENSMUSG00000034190"
"3229" "Chn1" 1367 "ENSMUSG00000056486"
"3230" "Chn2" 1394 "ENSMUSG00000004633"
"3231" "Chodl" 816 "ENSMUSG00000022860"
"3232" "Chordc1" 985 "ENSMUSG00000001774"
"3233" "Chp1" 581 "ENSMUSG00000014077"
"3234" "Chp2" 584 "ENSMUSG00000030865"
"3235" "Chpf" 2321 "ENSMUSG00000032997"
"3236" "Chpf2" 2303 "ENSMUSG00000038181"
"3237" "Chpt1" 1212 "ENSMUSG00000060002"
"3238" "Chrac1" 387 "ENSMUSG00000068391"
"3239" "Chrd" 2890 "ENSMUSG00000006958"
"3240" "Chrdl1" 1333 "ENSMUSG00000031283"
"3241" "Chrdl2" 1291 "ENSMUSG00000030732"
"3242" "Chrm1" 1382 "ENSMUSG00000032773"
"3243" "Chrm2" 1400 "ENSMUSG00000045613"
"3244" "Chrm3" 1769 "ENSMUSG00000046159"
"3245" "Chrm4" 1439 "ENSMUSG00000040495"
"3246" "Chrm5" 1598 "ENSMUSG00000074939"
"3247" "Chrna1" 1365 "ENSMUSG00000027107"
"3248" "Chrna10" 1339 "ENSMUSG00000066279"
"3249" "Chrna2" 1533 "ENSMUSG00000022041"
"3250" "Chrna3" 1494 "ENSMUSG00000032303"
"3251" "Chrna4" 1884 "ENSMUSG00000027577"
"3252" "Chrna5" 1311 "ENSMUSG00000035594"
"3253" "Chrna6" 1479 "ENSMUSG00000031491"
"3254" "Chrna7" 1499 "ENSMUSG00000030525"
"3255" "Chrna9" 1435 "ENSMUSG00000029205"
"3256" "Chrnb1" 1495 "ENSMUSG00000041189"
"3257" "Chrnb2" 1500 "ENSMUSG00000027950"
"3258" "Chrnb3" 1389 "ENSMUSG00000031492"
"3259" "Chrnb4" 1482 "ENSMUSG00000035200"
"3260" "Chrnd" 1551 "ENSMUSG00000026251"
"3261" "Chrne" 1470 "ENSMUSG00000014609"
"3262" "Chrng" 1548 "ENSMUSG00000026253"
"3263" "Chst1" 1235 "ENSMUSG00000027221"
"3264" "Chst10" 1119 "ENSMUSG00000026080"
"3265" "Chst11" 1056 "ENSMUSG00000034612"
"3266" "Chst12" 1259 "ENSMUSG00000036599"
"3267" "Chst13" 1008 "ENSMUSG00000056643"
"3268" "Chst14" 1130 "ENSMUSG00000074916"
"3269" "Chst15" 1679 "ENSMUSG00000030930"
"3270" "Chst2" 1592 "ENSMUSG00000033350"
"3271" "Chst3" 1435 "ENSMUSG00000057337"
"3272" "Chst4" 1166 "ENSMUSG00000035930"
"3273" "Chst5" 1187 "ENSMUSG00000031952"
"3274" "Chst7" 1454 "ENSMUSG00000037347"
"3275" "Chst8" 1251 "ENSMUSG00000060402"
"3276" "Chst9" 1238 "ENSMUSG00000047161"
"3277" "Chsy1" 2400 "ENSMUSG00000032640"
"3278" "Chsy3" 2652 "ENSMUSG00000058152"
"3279" "Chtf18" 2888 "ENSMUSG00000019214"
"3280" "Chtf8" 363 "ENSMUSG00000046691"
"3281" "Chtop" 745 "ENSMUSG00000001017"
"3282" "Chuk" 2217 "ENSMUSG00000025199"
"3283" "Churc1" 335 "ENSMUSG00000090258"
"3284" "Ciao1" 1013 "ENSMUSG00000003662"
"3285" "Ciao2a" 478 "ENSMUSG00000032381"
"3286" "Ciao2b" 487 "ENSMUSG00000031879"
"3287" "Ciao3" 1420 "ENSMUSG00000002280"
"3288" "Ciapin1" 922 "ENSMUSG00000031781"
"3289" "Ciart" 1123 "ENSMUSG00000038550"
"3290" "Cib1" 569 "ENSMUSG00000030538"
"3291" "Cib2" 558 "ENSMUSG00000037493"
"3292" "Cib3" 478 "ENSMUSG00000074240"
"3293" "Cib4" 551 "ENSMUSG00000053194"
"3294" "Cic" 7513 "ENSMUSG00000005442"
"3295" "Cidea" 649 "ENSMUSG00000024526"
"3296" "Cideb" 655 "ENSMUSG00000022219"
"3297" "Cidec" 744 "ENSMUSG00000030278"
"3298" "Ciita" 3450 "ENSMUSG00000022504"
"3299" "Cilp" 3745 "ENSMUSG00000042254"
"3300" "Cilp2" 3481 "ENSMUSG00000044006"
"3301" "Cinp" 783 "ENSMUSG00000021276"
"3302" "Cip2a" 2703 "ENSMUSG00000033031"
"3303" "Cipc" 1233 "ENSMUSG00000034157"
"3304" "Cir1" 1343 "ENSMUSG00000041777"
"3305" "Cirbp" 513 "ENSMUSG00000045193"
"3306" "Cisd1" 324 "ENSMUSG00000037710"
"3307" "Cisd2" 405 "ENSMUSG00000028165"
"3308" "Cisd3" 411 "ENSMUSG00000078695"
"3309" "Cish" 771 "ENSMUSG00000032578"
"3310" "Cit" 6121 "ENSMUSG00000029516"
"3311" "Cited1" 610 "ENSMUSG00000051159"
"3312" "Cited2" 809 "ENSMUSG00000039910"
"3313" "Cited4" 548 "ENSMUSG00000070803"
"3314" "Ciz1" 2522 "ENSMUSG00000039205"
"3315" "Ckap2" 1986 "ENSMUSG00000037725"
"3316" "Ckap2l" 2229 "ENSMUSG00000048327"
"3317" "Ckap4" 1726 "ENSMUSG00000046841"
"3318" "Ckap5" 6056 "ENSMUSG00000040549"
"3319" "Ckb" 1139 "ENSMUSG00000001270"
"3320" "Cklf" 455 "ENSMUSG00000054400"
"3321" "Ckm" 1139 "ENSMUSG00000030399"
"3322" "Ckmt1" 1248 "ENSMUSG00000000308"
"3323" "Ckmt2" 1251 "ENSMUSG00000021622"
"3324" "Cks1b" 237 "ENSMUSG00000028044"
"3325" "Cks1brt" 290 "ENSMUSG00000062687"
"3326" "Cks2" 237 "ENSMUSG00000062248"
"3327" "Clasp2" 3880 "ENSMUSG00000033392"
"3328" "Clasrp" 1987 "ENSMUSG00000061028"
"3329" "Clba1" 961 "ENSMUSG00000037594"
"3330" "Clba1" 961 "ENSMUSG00000116084"
"3331" "Clca1" 2728 "ENSMUSG00000028255"
"3332" "Clca2" 2815 "ENSMUSG00000036960"
"3333" "Clca3a1" 2695 "ENSMUSG00000056025"
"3334" "Clca3a2" 2695 "ENSMUSG00000028262"
"3335" "Clca3b" 3121 "ENSMUSG00000037033"
"3336" "Clca4a" 2764 "ENSMUSG00000068547"
"3337" "Clca4b" 2764 "ENSMUSG00000074195"
"3338" "Clca4c-ps" 468 "ENSMUSG00000074196"
"3339" "Clcc1" 1624 "ENSMUSG00000027884"
"3340" "Clcf1" 675 "ENSMUSG00000040663"
"3341" "Clcf1" 675 "ENSMUSG00000097629"
"3342" "Clcn1" 2962 "ENSMUSG00000029862"
"3343" "Clcn2" 2703 "ENSMUSG00000022843"
"3344" "Clcn3" 2588 "ENSMUSG00000004319"
"3345" "Clcn4" 2233 "ENSMUSG00000000605"
"3346" "Clcn5" 2438 "ENSMUSG00000004317"
"3347" "Clcn6" 2590 "ENSMUSG00000029016"
"3348" "Clcn7" 2387 "ENSMUSG00000036636"
"3349" "Clcnka" 2045 "ENSMUSG00000033770"
"3350" "Clcnkb" 2045 "ENSMUSG00000006216"
"3351" "Cldn1" 632 "ENSMUSG00000022512"
"3352" "Cldn10" 691 "ENSMUSG00000022132"
"3353" "Cldn11" 621 "ENSMUSG00000037625"
"3354" "Cldn12" 734 "ENSMUSG00000046798"
"3355" "Cldn13" 634 "ENSMUSG00000008843"
"3356" "Cldn14" 719 "ENSMUSG00000047109"
"3357" "Cldn15" 679 "ENSMUSG00000001739"
"3358" "Cldn16" 703 "ENSMUSG00000038148"
"3359" "Cldn17" 674 "ENSMUSG00000055811"
"3360" "Cldn18" 790 "ENSMUSG00000032473"
"3361" "Cldn19" 670 "ENSMUSG00000066058"
"3362" "Cldn2" 692 "ENSMUSG00000047230"
"3363" "Cldn20" 659 "ENSMUSG00000091530"
"3364" "Cldn22" 662 "ENSMUSG00000038064"
"3365" "Cldn23" 890 "ENSMUSG00000055976"
"3366" "Cldn24" 662 "ENSMUSG00000061974"
"3367" "Cldn3" 659 "ENSMUSG00000070473"
"3368" "Cldn34a" 635 "ENSMUSG00000091863"
"3369" "Cldn34b1" 629 "ENSMUSG00000072100"
"3370" "Cldn34b2" 629 "ENSMUSG00000057402"
"3371" "Cldn34b3" 629 "ENSMUSG00000071738"
"3372" "Cldn34b4" 635 "ENSMUSG00000073085"
"3373" "Cldn34c1" 702 "ENSMUSG00000079450"
"3374" "Cldn34c4" 638 "ENSMUSG00000043569"
"3375" "Cldn34d" 632 "ENSMUSG00000079525"
"3376" "Cldn4" 632 "ENSMUSG00000047501"
"3377" "Cldn5" 656 "ENSMUSG00000041378"
"3378" "Cldn6" 659 "ENSMUSG00000023906"
"3379" "Cldn7" 632 "ENSMUSG00000018569"
"3380" "Cldn8" 677 "ENSMUSG00000050520"
"3381" "Cldn9" 653 "ENSMUSG00000066720"
"3382" "Cldnd1" 758 "ENSMUSG00000022744"
"3383" "Cldnd2" 500 "ENSMUSG00000038973"
"3384" "Clec10a" 909 "ENSMUSG00000000318"
"3385" "Clec11a" 983 "ENSMUSG00000004473"
"3386" "Clec12a" 798 "ENSMUSG00000053063"
"3387" "Clec12b" 822 "ENSMUSG00000030158"
"3388" "Clec14a" 1379 "ENSMUSG00000045930"
"3389" "Clec16a" 3087 "ENSMUSG00000068663"
"3390" "Clec1a" 804 "ENSMUSG00000033082"
"3391" "Clec1b" 684 "ENSMUSG00000030159"
"3392" "Clec2d" 619 "ENSMUSG00000030157"
"3393" "Clec2e" 646 "ENSMUSG00000030155"
"3394" "Clec2f" 622 "ENSMUSG00000089728"
"3395" "Clec2g" 803 "ENSMUSG00000000248"
"3396" "Clec2h" 652 "ENSMUSG00000030364"
"3397" "Clec2i" 734 "ENSMUSG00000030365"
"3398" "Clec2l" 631 "ENSMUSG00000079598"
"3399" "Clec2m" 565 "ENSMUSG00000047720"
"3400" "Clec3a" 588 "ENSMUSG00000008874"
"3401" "Clec3b" 606 "ENSMUSG00000025784"
"3402" "Clec4a1" 732 "ENSMUSG00000049037"
"3403" "Clec4a2" 782 "ENSMUSG00000030148"
"3404" "Clec4a3" 708 "ENSMUSG00000043832"
"3405" "Clec4a4" 705 "ENSMUSG00000059639"
"3406" "Clec4b1" 624 "ENSMUSG00000030147"
"3407" "Clec4b2" 621 "ENSMUSG00000067767"
"3408" "Clec4d" 654 "ENSMUSG00000030144"
"3409" "Clec4e" 639 "ENSMUSG00000030142"
"3410" "Clec4f" 1640 "ENSMUSG00000014542"
"3411" "Clec4g" 876 "ENSMUSG00000074491"
"3412" "Clec4n" 624 "ENSMUSG00000023349"
"3413" "Clec5a" 567 "ENSMUSG00000029915"
"3414" "Clec7a" 729 "ENSMUSG00000079293"
"3415" "Clec9a" 788 "ENSMUSG00000046080"
"3416" "Clgn" 1822 "ENSMUSG00000002190"
"3417" "Clhc1" 1780 "ENSMUSG00000020461"
"3418" "Clic1" 720 "ENSMUSG00000007041"
"3419" "Clic3" 708 "ENSMUSG00000015093"
"3420" "Clic4" 756 "ENSMUSG00000037242"
"3421" "Clic5" 750 "ENSMUSG00000023959"
"3422" "Clic6" 1785 "ENSMUSG00000022949"
"3423" "Clint1" 1914 "ENSMUSG00000006169"
"3424" "Clip1" 4153 "ENSMUSG00000049550"
"3425" "Clip2" 3128 "ENSMUSG00000063146"
"3426" "Clip3" 1631 "ENSMUSG00000013921"
"3427" "Clip4" 2100 "ENSMUSG00000024059"
"3428" "Clk1" 1440 "ENSMUSG00000026034"
"3429" "Clk2" 1488 "ENSMUSG00000068917"
"3430" "Clk3" 1904 "ENSMUSG00000032316"
"3431" "Clk4" 1434 "ENSMUSG00000020385"
"3432" "Clmn" 3145 "ENSMUSG00000021097"
"3433" "Clmp" 1115 "ENSMUSG00000032024"
"3434" "Cln3" 1302 "ENSMUSG00000030720"
"3435" "Cln5" 1022 "ENSMUSG00000022125"
"3436" "Cln6" 920 "ENSMUSG00000032245"
"3437" "Cln8" 865 "ENSMUSG00000026317"
"3438" "Clnk" 1290 "ENSMUSG00000039315"
"3439" "Clns1a" 720 "ENSMUSG00000025439"
"3440" "Clock" 2548 "ENSMUSG00000029238"
"3441" "Clp1" 1276 "ENSMUSG00000027079"
"3442" "Clpb" 2020 "ENSMUSG00000001829"
"3443" "Clpp" 813 "ENSMUSG00000002660"
"3444" "Clps" 339 "ENSMUSG00000024225"
"3445" "Clpsl2" 306 "ENSMUSG00000024224"
"3446" "Clptm1" 1981 "ENSMUSG00000002981"
"3447" "Clptm1l" 1603 "ENSMUSG00000021610"
"3448" "Clpx" 1891 "ENSMUSG00000015357"
"3449" "Clrn1" 749 "ENSMUSG00000043850"
"3450" "Clrn2" 696 "ENSMUSG00000049530"
"3451" "Clrn3" 678 "ENSMUSG00000050866"
"3452" "Clspn" 3923 "ENSMUSG00000042489"
"3453" "Clstn1" 2921 "ENSMUSG00000039953"
"3454" "Clstn2" 2883 "ENSMUSG00000032452"
"3455" "Clstn3" 2853 "ENSMUSG00000008153"
"3456" "Clta" 740 "ENSMUSG00000028478"
"3457" "Cltb" 684 "ENSMUSG00000047547"
"3458" "Cltc" 4996 "ENSMUSG00000047126"
"3459" "Cltrn" 663 "ENSMUSG00000015401"
"3460" "Clu" 1339 "ENSMUSG00000022037"
"3461" "Cluap1" 1230 "ENSMUSG00000014232"
"3462" "Cluh" 4036 "ENSMUSG00000020741"
"3463" "Clvs1" 1060 "ENSMUSG00000041216"
"3464" "Clvs2" 979 "ENSMUSG00000019785"
"3465" "Clybl" 1009 "ENSMUSG00000025545"
"3466" "Cma1" 739 "ENSMUSG00000022225"
"3467" "Cma2" 736 "ENSMUSG00000068289"
"3468" "Cmah" 1720 "ENSMUSG00000016756"
"3469" "Cmas" 1291 "ENSMUSG00000030282"
"3470" "Cmbl" 733 "ENSMUSG00000022235"
"3471" "Cmc1" 317 "ENSMUSG00000039163"
"3472" "Cmc2" 237 "ENSMUSG00000014633"
"3473" "Cmc4" 205 "ENSMUSG00000090110"
"3474" "Cmip" 2301 "ENSMUSG00000034390"
"3475" "Cmklr1" 1115 "ENSMUSG00000042190"
"3476" "Cmpk1" 678 "ENSMUSG00000028719"
"3477" "Cmpk2" 1339 "ENSMUSG00000020638"
"3478" "Cmss1" 821 "ENSMUSG00000022748"
"3479" "Cmtm1" 908 "ENSMUSG00000110430"
"3480" "Cmtm2a" 505 "ENSMUSG00000074127"
"3481" "Cmtm2b" 629 "ENSMUSG00000035785"
"3482" "Cmtm3" 550 "ENSMUSG00000031875"
"3483" "Cmtm4" 623 "ENSMUSG00000096188"
"3484" "Cmtm5" 466 "ENSMUSG00000040759"
"3485" "Cmtm6" 548 "ENSMUSG00000032434"
"3486" "Cmtm7" 499 "ENSMUSG00000032436"
"3487" "Cmtm8" 518 "ENSMUSG00000041012"
"3488" "Cmtr1" 2491 "ENSMUSG00000024019"
"3489" "Cmtr2" 2303 "ENSMUSG00000046441"
"3490" "Cmya5" 11018 "ENSMUSG00000047419"
"3491" "Cnbd2" 2009 "ENSMUSG00000038085"
"3492" "Cnbp" 533 "ENSMUSG00000030057"
"3493" "Cndp1" 1468 "ENSMUSG00000056162"
"3494" "Cndp2" 1417 "ENSMUSG00000024644"
"3495" "Cnep1r1" 372 "ENSMUSG00000036810"
"3496" "Cnfn" 371 "ENSMUSG00000063651"
"3497" "Cnga1" 2047 "ENSMUSG00000067220"
"3498" "Cnga2" 1989 "ENSMUSG00000005864"
"3499" "Cnga3" 2004 "ENSMUSG00000026114"
"3500" "Cnga4" 1722 "ENSMUSG00000030897"
"3501" "Cngb1" 3946 "ENSMUSG00000031789"
"3502" "Cngb3" 2067 "ENSMUSG00000056494"
"3503" "Cnih1" 477 "ENSMUSG00000015759"
"3504" "Cnih2" 477 "ENSMUSG00000024873"
"3505" "Cnih3" 534 "ENSMUSG00000026514"
"3506" "Cnih4" 415 "ENSMUSG00000062169"
"3507" "Cnksr1" 2082 "ENSMUSG00000028841"
"3508" "Cnksr2" 3077 "ENSMUSG00000025658"
"3509" "Cnksr3" 1655 "ENSMUSG00000015202"
"3510" "Cnmd" 1010 "ENSMUSG00000022025"
"3511" "Cnn1" 887 "ENSMUSG00000001349"
"3512" "Cnn2" 911 "ENSMUSG00000004665"
"3513" "Cnn3" 986 "ENSMUSG00000053931"
"3514" "Cnnm1" 2907 "ENSMUSG00000025189"
"3515" "Cnnm2" 2620 "ENSMUSG00000064105"
"3516" "Cnnm3" 2134 "ENSMUSG00000001138"
"3517" "Cnnm4" 2309 "ENSMUSG00000037408"
"3518" "Cnot1" 7083 "ENSMUSG00000036550"
"3519" "Cnot10" 2216 "ENSMUSG00000056167"
"3520" "Cnot11" 1511 "ENSMUSG00000003135"
"3521" "Cnot2" 1608 "ENSMUSG00000020166"
"3522" "Cnot3" 2239 "ENSMUSG00000035632"
"3523" "Cnot4" 2122 "ENSMUSG00000038784"
"3524" "Cnot6" 1663 "ENSMUSG00000020362"
"3525" "Cnot6l" 1656 "ENSMUSG00000034724"
"3526" "Cnot7" 852 "ENSMUSG00000031601"
"3527" "Cnot8" 873 "ENSMUSG00000020515"
"3528" "Cnot9" 892 "ENSMUSG00000026174"
"3529" "Cnp" 1259 "ENSMUSG00000006782"
"3530" "Cnppd1" 1216 "ENSMUSG00000033159"
"3531" "Cnpy1" 520 "ENSMUSG00000044681"
"3532" "Cnpy2" 544 "ENSMUSG00000025381"
"3533" "Cnpy3" 825 "ENSMUSG00000023973"
"3534" "Cnpy4" 732 "ENSMUSG00000036968"
"3535" "Cnr1" 1421 "ENSMUSG00000044288"
"3536" "Cnr2" 1043 "ENSMUSG00000062585"
"3537" "Cnrip1" 492 "ENSMUSG00000044629"
"3538" "Cnst" 2126 "ENSMUSG00000038949"
"3539" "Cntd1" 998 "ENSMUSG00000078653"
"3540" "Cntf" 595 "ENSMUSG00000079415"
"3541" "Cntfr" 1111 "ENSMUSG00000028444"
"3542" "Cntln" 4165 "ENSMUSG00000038070"
"3543" "Cntn1" 3040 "ENSMUSG00000055022"
"3544" "Cntn2" 3101 "ENSMUSG00000053024"
"3545" "Cntn3" 3065 "ENSMUSG00000030075"
"3546" "Cntn4" 3059 "ENSMUSG00000064293"
"3547" "Cntn5" 3274 "ENSMUSG00000039488"
"3548" "Cntn6" 3065 "ENSMUSG00000030092"
"3549" "Cntnap1" 4134 "ENSMUSG00000017167"
"3550" "Cntnap2" 3975 "ENSMUSG00000039419"
"3551" "Cntnap3" 3840 "ENSMUSG00000033063"
"3552" "Cntnap4" 3909 "ENSMUSG00000031772"
"3553" "Cntnap5a" 3891 "ENSMUSG00000070695"
"3554" "Cntnap5b" 3855 "ENSMUSG00000067028"
"3555" "Cntnap5c" 3894 "ENSMUSG00000038048"
"3556" "Cntrl" 6960 "ENSMUSG00000057110"
"3557" "Cntrob" 2645 "ENSMUSG00000032782"
"3558" "Coa3" 325 "ENSMUSG00000017188"
"3559" "Coa4" 263 "ENSMUSG00000044881"
"3560" "Coa5" 222 "ENSMUSG00000026112"
"3561" "Coa6" 238 "ENSMUSG00000051671"
"3562" "Coa7" 693 "ENSMUSG00000048351"
"3563" "Coasy" 1683 "ENSMUSG00000001755"
"3564" "Cobl" 3999 "ENSMUSG00000020173"
"3565" "Cobll1" 3712 "ENSMUSG00000034903"
"3566" "Coch" 1648 "ENSMUSG00000020953"
"3567" "Cog1" 2929 "ENSMUSG00000018661"
"3568" "Cog2" 2178 "ENSMUSG00000031979"
"3569" "Cog3" 2464 "ENSMUSG00000034893"
"3570" "Cog4" 2339 "ENSMUSG00000031753"
"3571" "Cog5" 2468 "ENSMUSG00000035933"
"3572" "Cog6" 1955 "ENSMUSG00000027742"
"3573" "Cog7" 2296 "ENSMUSG00000034951"
"3574" "Cog8" 1918 "ENSMUSG00000031916"
"3575" "Coil" 1715 "ENSMUSG00000033983"
"3576" "Col10a1" 2041 "ENSMUSG00000039462"
"3577" "Col11a1" 5348 "ENSMUSG00000027966"
"3578" "Col11a2" 5083 "ENSMUSG00000024330"
"3579" "Col12a1" 9133 "ENSMUSG00000032332"
"3580" "Col13a1" 2179 "ENSMUSG00000058806"
"3581" "Col14a1" 5347 "ENSMUSG00000022371"
"3582" "Col15a1" 4064 "ENSMUSG00000028339"
"3583" "Col16a1" 4674 "ENSMUSG00000040690"
"3584" "Col17a1" 4360 "ENSMUSG00000025064"
"3585" "Col18a1" 4543 "ENSMUSG00000001435"
"3586" "Col19a1" 3361 "ENSMUSG00000026141"
"3587" "Col1a1" 4311 "ENSMUSG00000001506"
"3588" "Col1a2" 4067 "ENSMUSG00000029661"
"3589" "Col20a1" 3928 "ENSMUSG00000016356"
"3590" "Col22a1" 4779 "ENSMUSG00000079022"
"3591" "Col23a1" 1570 "ENSMUSG00000063564"
"3592" "Col24a1" 5142 "ENSMUSG00000028197"
"3593" "Col25a1" 1963 "ENSMUSG00000058897"
"3594" "Col26a1" 1310 "ENSMUSG00000004415"
"3595" "Col27a1" 5477 "ENSMUSG00000045672"
"3596" "Col28a1" 3392 "ENSMUSG00000068794"
"3597" "Col2a1" 4410 "ENSMUSG00000022483"
"3598" "Col3a1" 4344 "ENSMUSG00000026043"
"3599" "Col4a1" 4958 "ENSMUSG00000031502"
"3600" "Col4a2" 5077 "ENSMUSG00000031503"
"3601" "Col4a3" 4958 "ENSMUSG00000079465"
"3602" "Col4a4" 5002 "ENSMUSG00000067158"
"3603" "Col4a5" 5023 "ENSMUSG00000031274"
"3604" "Col4a6" 5031 "ENSMUSG00000031273"
"3605" "Col4a6" 5031 "ENSMUSG00000116510"
"3606" "Col5a1" 5451 "ENSMUSG00000026837"
"3607" "Col5a2" 4440 "ENSMUSG00000026042"
"3608" "Col5a3" 5153 "ENSMUSG00000004098"
"3609" "Col6a1" 3043 "ENSMUSG00000001119"
"3610" "Col6a2" 3078 "ENSMUSG00000020241"
"3611" "Col6a3" 7994 "ENSMUSG00000048126"
"3612" "Col6a4" 6893 "ENSMUSG00000032572"
"3613" "Col6a5" 7883 "ENSMUSG00000091345"
"3614" "Col6a6" 6762 "ENSMUSG00000043719"
"3615" "Col7a1" 8717 "ENSMUSG00000025650"
"3616" "Col8a1" 2233 "ENSMUSG00000068196"
"3617" "Col8a2" 2098 "ENSMUSG00000056174"
"3618" "Col9a1" 2728 "ENSMUSG00000026147"
"3619" "Col9a2" 2035 "ENSMUSG00000028626"
"3620" "Col9a3" 2011 "ENSMUSG00000027570"
"3621" "Colca2" 716 "ENSMUSG00000079559"
"3622" "Colec10" 828 "ENSMUSG00000038591"
"3623" "Colec11" 831 "ENSMUSG00000036655"
"3624" "Colec12" 2219 "ENSMUSG00000036103"
"3625" "Colgalt1" 1842 "ENSMUSG00000034807"
"3626" "Colgalt2" 1866 "ENSMUSG00000032649"
"3627" "Colq" 1357 "ENSMUSG00000057606"
"3628" "Commd1" 564 "ENSMUSG00000051355"
"3629" "Commd10" 602 "ENSMUSG00000042705"
"3630" "Commd2" 595 "ENSMUSG00000036513"
"3631" "Commd3" 580 "ENSMUSG00000051154"
"3632" "Commd4" 592 "ENSMUSG00000032299"
"3633" "Commd5" 674 "ENSMUSG00000055041"
"3634" "Commd6" 260 "ENSMUSG00000075486"
"3635" "Commd7" 594 "ENSMUSG00000056941"
"3636" "Commd8" 547 "ENSMUSG00000029213"
"3637" "Commd9" 591 "ENSMUSG00000027163"
"3638" "Comp" 2249 "ENSMUSG00000031849"
"3639" "Comt" 794 "ENSMUSG00000000326"
"3640" "Comt" 794 "ENSMUSG00000098892"
"3641" "Comtd1" 782 "ENSMUSG00000021773"
"3642" "Cop1" 2182 "ENSMUSG00000040782"
"3643" "Copa" 3642 "ENSMUSG00000026553"
"3644" "Copb1" 2841 "ENSMUSG00000030754"
"3645" "Copb2" 2696 "ENSMUSG00000032458"
"3646" "Cope" 917 "ENSMUSG00000055681"
"3647" "Copg1" 2601 "ENSMUSG00000030058"
"3648" "Copg2" 2592 "ENSMUSG00000025607"
"3649" "Coprs" 518 "ENSMUSG00000031458"
"3650" "Cops2" 1340 "ENSMUSG00000027206"
"3651" "Cops3" 1260 "ENSMUSG00000019373"
"3652" "Cops4" 1211 "ENSMUSG00000035297"
"3653" "Cops5" 997 "ENSMUSG00000025917"
"3654" "Cops6" 965 "ENSMUSG00000019494"
"3655" "Cops7a" 827 "ENSMUSG00000030127"
"3656" "Cops7b" 789 "ENSMUSG00000026240"
"3657" "Cops8" 622 "ENSMUSG00000034432"
"3658" "Cops9" 171 "ENSMUSG00000073616"
"3659" "Copz1" 525 "ENSMUSG00000060992"
"3660" "Copz2" 609 "ENSMUSG00000018672"
"3661" "Coq10a" 775 "ENSMUSG00000039914"
"3662" "Coq10b" 724 "ENSMUSG00000025981"
"3663" "Coq2" 1118 "ENSMUSG00000029319"
"3664" "Coq3" 1106 "ENSMUSG00000028247"
"3665" "Coq4" 794 "ENSMUSG00000026798"
"3666" "Coq5" 977 "ENSMUSG00000041733"
"3667" "Coq6" 1419 "ENSMUSG00000021235"
"3668" "Coq7" 1007 "ENSMUSG00000030652"
"3669" "Coq8a" 1924 "ENSMUSG00000026489"
"3670" "Coq8b" 1588 "ENSMUSG00000003762"
"3671" "Coq9" 933 "ENSMUSG00000031782"
"3672" "Corin" 3320 "ENSMUSG00000005220"
"3673" "Coro1a" 1376 "ENSMUSG00000030707"
"3674" "Coro1b" 1445 "ENSMUSG00000024835"
"3675" "Coro1b" 1445 "ENSMUSG00000097771"
"3676" "Coro1c" 1415 "ENSMUSG00000004530"
"3677" "Coro2a" 1620 "ENSMUSG00000028337"
"3678" "Coro2b" 1431 "ENSMUSG00000041729"
"3679" "Coro6" 1406 "ENSMUSG00000020836"
"3680" "Coro7" 2741 "ENSMUSG00000039637"
"3681" "Cort" 328 "ENSMUSG00000028971"
"3682" "Cotl1" 425 "ENSMUSG00000031827"
"3683" "Cox10" 1325 "ENSMUSG00000042148"
"3684" "Cox11" 824 "ENSMUSG00000020544"
"3685" "Cox14" 173 "ENSMUSG00000023020"
"3686" "Cox15" 1233 "ENSMUSG00000040018"
"3687" "Cox16" 317 "ENSMUSG00000091803"
"3688" "Cox17" 190 "ENSMUSG00000046516"
"3689" "Cox18" 993 "ENSMUSG00000035505"
"3690" "Cox19" 276 "ENSMUSG00000045438"
"3691" "Cox20" 350 "ENSMUSG00000026500"
"3692" "Cox20" 350 "ENSMUSG00000111742"
"3693" "Cox4i1" 506 "ENSMUSG00000031818"
"3694" "Cox4i2" 515 "ENSMUSG00000009876"
